"","maxgroup","value.IV","mean","sd","p"
"otu.935","3",22.3,"20.4","8.24",0.3241
"otu.936","3",40,"36.2","6.86",0.2498
"otu.937","2",49.3,"31.6","8.21",0.0392
"otu.939","2",22.2,"12.4","4.64",0.0752
"otu.940","1",16.8,"17.1","7.8",0.4163
"otu.941","2",35.8,"24.7","9.29",0.1226
"otu.942","2",24.4,"18.2","8.19",0.2158
"otu.943","1",29.8,"14.4","7.49",0.0636
"otu.944","2",38.8,"24","9.83",0.0816
"otu.945","2",53.9,"32.1","7.19",0.011
"otu.946","3",7.7,"9.4","1.46",1
"otu.947","1",59.6,"33.7","8.13",0.0062
"otu.948","2",22.2,"12.2","4.64",0.0726
"otu.951","3",20.8,"19.5","8.33",0.3891
"otu.953","2",38.8,"34.3","7.77",0.2456
"otu.954","3",33.5,"39.5","5.41",0.8784
"otu.955","2",45.4,"29.9","7.08",0.0362
"otu.956","2",7.9,"13.1","6.65",0.7367
"otu.957","2",38.9,"34.4","11.56",0.2829
"otu.958","1",30.8,"34.4","11.01",0.5669
"otu.960","2",15.6,"14.5","7.48",0.3281
"otu.962","2",43.6,"27.2","9.63",0.0668
"otu.963","1",10,"9.4","1.46",0.6037
"otu.965","2",36.7,"24.7","9.44",0.1168
"otu.968","2",37.6,"19.9","8.63",0.0422
"otu.969","2",58.2,"23.3","9.02",0.0034
"otu.970","2",24.3,"25.3","7.91",0.4611
"otu.971","2",31.7,"19.6","9.03",0.1
"otu.972","2",54.9,"39.6","8.38",0.0542
"otu.973","3",7.4,"15","6.26",1
"otu.974","3",22.7,"17.6","7.34",0.1828
"otu.975","3",27.3,"32.9","9.11",0.6955
"otu.976","3",37.3,"28.8","9.4",0.1756
"otu.977","2",27,"19.8","7.98",0.1614
"otu.978","3",27.8,"36","6.84",0.9298
"otu.979","3",12.1,"16.1","7.4",0.6799
"otu.980","1",30,"15.2","6.29",0.0434
"otu.982","3",13.9,"14.6","7.6",0.4581
"otu.984","1",15.6,"22.3","9.53",0.7399
"otu.985","2",10.6,"12","4.89",0.4509
"otu.986","3",7.7,"9.4","1.47",1
"otu.988","3",7.7,"9.4","1.46",1
"otu.990","3",40.6,"33.4","10.44",0.2218
"otu.991","2",5.3,"12","6.63",0.804
"otu.992","2",22.2,"11.7","4.93",0.0712
"otu.993","3",45.8,"22.1","9.47",0.0188
"otu.994","1",11,"25.3","9.13",0.9958
"otu.998","3",31.4,"20.8","8.86",0.123
"otu.999","3",17.5,"17.9","8.12",0.4809
"otu.1000","3",4.9,"12.9","6.66",1
"otu.1004","1",17.1,"13.9","6.49",0.3441
"otu.1005","3",23.1,"12.4","6.6",0.0998
"otu.1007","2",74.6,"29.5","9.01",4e-04
"otu.1008","2",10.3,"11.6","5.03",0.4341
"otu.1009","3",12.6,"16.9","7.38",0.6679
"otu.1010","3",32.5,"29.5","9.98",0.3101
"otu.1011","2",26.3,"24.5","8.24",0.3355
"otu.1012","2",40.3,"28.5","9.25",0.1172
"otu.1013","3",41.1,"20.2","8.09",0.0228
"otu.1014","2",15,"13.7","6.99",0.3357
"otu.1015","2",35.3,"35.6","9.44",0.4331
"otu.1016","2",26.8,"20.2","8.49",0.1914
"otu.1017","1",60.5,"32.8","7.71",0.0046
"otu.1018","2",27.5,"19.9","8.04",0.1576
"otu.1019","3",15.4,"17.6","7.96",0.4661
"otu.1020","3",20,"24.8","9.6",0.7025
"otu.1021","1",23,"25.2","10.07",0.4993
"otu.1023","3",7.7,"9.4","1.47",1
"otu.1024","1",25.8,"21.5","9.16",0.2519
"otu.1027","3",12.5,"14.3","7.25",0.5769
"otu.1030","3",16.3,"22.5","8.97",0.7453
"otu.1031","1",45.2,"30.2","8.07",0.0556
"otu.1032","3",8.4,"14.1","7.18",0.7918
"otu.1034","2",8.5,"10.6","5.92",0.4539
"otu.1035","2",22,"14.9","6.28",0.13
"otu.1036","1",14.6,"12.3","6.73",0.3169
"otu.1038","2",33,"34.6","9.43",0.4971
"otu.1039","2",34.2,"15.5","7.49",0.0252
"otu.1040","1",22.5,"30.7","10.63",0.7638
"otu.1041","3",7.4,"12.1","4.62",1
"otu.1043","3",14.2,"12.4","6.82",0.3663
"otu.1044","3",38.5,"16.2","7.68",0.0194
"otu.1045","2",11.1,"12.3","4.61",0.4427
"otu.1047","1",59.7,"28.3","9.66",0.0062
"otu.1048","2",47.9,"29.7","8.55",0.0406
